Ceiling type,Deck construction,Attic ventilation,Attic fan,Radiant barrier,Roofing material,Roof color,Insulation,R-value,Extended Construction Numbers,Look-Up Construction Number,Notes
Ceiling below roof joists,,,,,Tile,Dark,Blanket or loose fill,R-19,18B-19 td,18B-19,
Ceiling below roof joists,,,,,Tile,Dark,Blanket or loose fill,R-21,18B-21 td,18B-21,
Ceiling below roof joists,,,,,Tile,Dark,Blanket or loose fill,R-30,18B-30 td,18B-30,
Ceiling below roof joists,,,,,Tile,Dark,Blanket or loose fill,R-38,18B-38 td,18B-38,
Ceiling below roof joists,,,,,Tile,Dark,Board insulation,R-2,18B-2 td,18B-2,
Ceiling below roof joists,,,,,Tile,Dark,Board insulation,R-3,18B-3 td,18B-3,
Ceiling below roof joists,,,,,Tile,Dark,Board insulation,R-4,18B-4 td,18B-4,
Ceiling below roof joists,,,,,Tile,Dark,Board insulation,R-5,18B-5 td,18B-5,
Ceiling below roof joists,,,,,Tile,Dark,Board insulation,R-6,18B-6 td,18B-6,
Ceiling below roof joists,,,,,Tile,Dark,Board insulation,R-8,18B-8 td,18B-8,
Ceiling below roof joists,,,,,Tile,Dark,Board insulation,R-10,18B-10 td,18B-10,
Ceiling below roof joists,,,,,Tile,Light,None,,18C-0 tl,18C-0,
Ceiling below roof joists,,,,,Tile,Light,Blanket or loose fill,R-11,18C-11 tl,18C-11,
Ceiling below roof joists,,,,,Tile,Light,Blanket or loose fill,R-13,18C-13 tl,18C-13,
Ceiling below roof joists,,,,,Tile,Light,Blanket or loose fill,R-15,18C-15 tl,18C-15,
Ceiling below roof joists,,,,,Tile,Light,Blanket or loose fill,R-19,18C-19 tl,18C-19,
Ceiling below roof joists,,,,,Tile,Light,Blanket or loose fill,R-21,18C-21 tl,18C-21,
Ceiling below roof joists,,,,,Tile,Light,Blanket or loose fill,R-30,18C-30 tl,18C-30,
Ceiling below roof joists,,,,,Tile,Light,Blanket or loose fill,R-38,18C-38 tl,18C-38,
Ceiling below roof joists,,,,,Tile,Light,Board insulation,R-2,18C-2 tl,18C-2,
Ceiling below roof joists,,,,,Tile,Light,Board insulation,R-3,18C-3 tl,18C-3,
Ceiling below roof joists,,,,,Tile,Light,Board insulation,R-4,18C-4 tl,18C-4,
Ceiling below roof joists,,,,,Tile,Light,Board insulation,R-5,18C-5 tl,18C-5,
Ceiling below roof joists,,,,,Tile,Light,Board insulation,R-6,18C-6 tl,18C-6,
Ceiling below roof joists,,,,,Tile,Light,Board insulation,R-8,18C-8 tl,18C-8,
Ceiling below roof joists,,,,,Tile,Light,Board insulation,R-10,18C-10 tl,18C-10,
Ceiling below roof joists,,,,,Tile,White,None,,18C-0 tw,18C-0,
Ceiling below roof joists,,,,,Tile,White,Blanket or loose fill,R-11,18C-11 tw,18C-11,
